variant,spec_name,pattern,score_mod,mask_mod,rownorm,batch,heads,sq,sk,dim,value_dim,dtype,device,threads,tile_q,tile_k,median_latency_ms,calls_per_second,tokens_per_second,score_tile_elements,score_tile_bytes,score_tile_kib,q_tiles,kv_tile_interactions,is_best
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,16,16,160.53194348933175,6.229289811510041,6378.792766986282,2048,8192,8.0,64,2080,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,16,32,82.03043800313026,12.190596860665798,12483.171185321777,4096,16384,16.0,64,1056,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,16,64,54.82620550901629,18.23945302644641,18677.199899081123,8192,32768,32.0,64,544,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,16,128,39.76905351737514,25.1451797705746,25748.66408506839,16384,65536,64.0,64,288,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,16,256,30.230270989704877,33.07942559762553,33873.33181196854,32768,131072,128.0,64,160,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,16,512,25.80210697487928,38.75652484402114,39686.68144027765,65536,262144,256.0,64,96,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,16,1024,21.83875400805846,45.79015815787851,46889.12195366759,131072,524288,512.0,64,64,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,32,16,97.07503800746053,10.301309384222407,10548.540809443744,4096,16384,16.0,32,1056,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,32,32,66.96593400556594,14.932965766099581,15291.356944485971,8192,32768,32.0,32,528,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,32,64,45.905901497462764,21.7836915816863,22306.50017964677,16384,65536,64.0,32,272,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,32,128,34.36421899823472,29.100035710148678,29798.436567192246,32768,131072,128.0,32,144,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,8,1024,1024,128,128,float32,cpu,8,32,256,27.675896999426186,36.13252354641779,36999.70411153181,65536,262144,256.0,32,80,False
