variant,spec_name,pattern,score_mod,mask_mod,rownorm,batch,heads,sq,sk,dim,value_dim,dtype,device,threads,tile_q,tile_k,median_latency_ms,calls_per_second,tokens_per_second,score_tile_elements,score_tile_bytes,score_tile_kib,q_tiles,kv_tile_interactions,is_best
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,16,2048,2048,192,128,float32,cpu,8,16,16,1096.7211200040765,0.9118088288445498,1867.384481473638,4096,16384,16.0,128,8256,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,16,2048,2048,192,128,float32,cpu,8,16,32,695.9585434815381,1.436867194700265,2942.7040147461425,8192,32768,32.0,128,4160,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,16,2048,2048,192,128,float32,cpu,8,16,64,479.8680665262509,2.0839061186941796,4267.83973108568,16384,65536,64.0,128,2112,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,16,2048,2048,192,128,float32,cpu,8,16,128,368.6429249937646,2.7126520874282734,5555.511475053104,32768,131072,128.0,128,1088,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,16,2048,2048,192,128,float32,cpu,8,16,256,298.4608355036471,3.350523355308976,6861.871831672783,65536,262144,256.0,128,576,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,16,2048,2048,192,128,float32,cpu,8,16,512,262.2647595126182,3.8129407925729635,7808.902743189429,131072,524288,512.0,128,320,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,16,2048,2048,192,128,float32,cpu,8,16,1024,240.7764664676506,4.153229817974567,8505.814667211913,262144,1048576,1024.0,128,192,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,16,2048,2048,192,128,float32,cpu,8,16,2048,225.60716152656823,4.432483407146793,9077.726017836632,524288,2097152,2048.0,128,128,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,16,2048,2048,192,128,float32,cpu,8,32,16,718.044960492989,1.3926704524371687,2852.1890865913215,8192,32768,32.0,64,4160,False
causal_softmax,causal_softmax,parallel,"[{""name"":""scale"",""value"":null}]","{""name"":""causal"",""value"":null}","{""name"":""softmax"",""value"":null}",1,16,2048,2048,192,128,float32,cpu,8,32,32,484.9506019963883,2.062065694698215,4223.110542741944,16384,65536,64.0,64,2080,False
