variant,spec_name,pattern,score_mod,mask_mod,rownorm,batch,heads,sq,sk,dim,value_dim,dtype,device,threads,tile_q,tile_k,median_latency_ms,calls_per_second,tokens_per_second,score_tile_elements,score_tile_bytes,score_tile_kib,q_tiles,kv_tile_interactions,is_best
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,16,16,462.0846974721644,2.164105423682071,4432.087907700881,1536,6144,6.0,128,16384,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,16,32,254.75168752018362,3.9253910729080896,8039.200917315768,3072,12288,12.0,128,8192,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,16,64,149.67964400420897,6.680935184291861,13682.55525742973,6144,24576,24.0,128,4096,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,16,128,100.44049148564227,9.956144033235317,20390.18298006593,12288,49152,48.0,128,2048,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,16,256,72.37721697310917,13.81650251033467,28296.197141165405,24576,98304,96.0,128,1024,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,16,512,63.64771499647759,15.711483123240832,32177.117436397224,49152,196608,192.0,128,512,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,16,1024,52.04214001423679,19.215197525052528,39352.72453130758,98304,393216,384.0,128,256,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,16,2048,43.68669897667132,22.890262332111647,46879.25725616465,196608,786432,768.0,128,128,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,32,16,307.4501054943539,3.2525602760554726,6661.243445361608,3072,12288,12.0,64,8192,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,32,32,170.7311570062302,5.857161736234873,11995.46723580902,6144,24576,24.0,64,4096,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,32,64,112.67840402433649,8.874815086873419,18175.62129791676,12288,49152,48.0,64,2048,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,32,128,88.4865430125501,11.301153440452175,23144.762246046055,24576,98304,96.0,64,1024,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,32,256,63.19182147854008,15.824832654010452,32409.257275413405,49152,196608,192.0,64,512,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,32,512,55.811276484746486,17.917526044639118,36695.09333942091,98304,393216,384.0,64,256,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,32,1024,49.382908997358754,20.249920879579715,41471.83796137926,196608,786432,768.0,64,128,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,32,2048,46.43658848362975,21.534743026019864,44103.15371728868,393216,1572864,1536.0,64,64,False
relu,relu,parallel,"[{""name"":""scale"",""value"":null},{""name"":""relu"",""value"":null}]",null,"{""name"":""identity"",""value"":null}",1,6,2048,2048,64,64,float32,cpu,8,64,16,177.62027148273773,5.629988016864316,11530.21545853812,6144,24576,24.0,32,4096,False
